Cave	RefPassage	RefStation	Passage	Station	Start	End	Depth	Length	Azimuth	Inclination	LRUDs	Left	Right	Up	Down	ProfileX	ProfileY	Profile	Instrument	Direction	Weight	Loop	Colour	Level	Date	Surveyor	Title	Info	Material	Tasks	Comment	RefCave	RefX	RefY	RefZ	X	Y	Z	State
1323/42	1	59	1	60	0	0	0.00	14.15	38	-44	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	10/05/1990	0	P10						65.01	145.15	-525.31	71.28	153.17	-535.14	
1323/42	1	60	1	61	0	0	0.00	8.25	34	-54	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	10/05/1990	0							71.28	153.17	-535.14	73.99	157.19	-541.81	
1323/42	1	61	1	62	0	0	0.00	5.25	43	-51	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	10/05/1990	0	R13						73.99	157.19	-541.81	76.24	159.61	-545.89	
1323/42	1	62	1	63	0	0	0.00	8.40	352	-50	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	10/05/1990	0							76.24	159.61	-545.89	75.49	164.96	-552.33	
1323/42	1	63	1	64	0	0	0.00	9.25	50	-43	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	10/05/1990	0	P30						75.49	164.96	-552.33	80.68	169.30	-558.63	
1323/42	1	64	1	65	0	0	0.00	10.90	93	-70	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	10/05/1990	0							80.68	169.30	-558.63	84.40	169.11	-568.88	
1323/42	1	65	1	66	0	0	0.00	21.35	295	-71	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	-1	0	0	4	1	10/05/1990	0							84.40	169.11	-568.88	78.10	172.05	-589.06	
1323/42	1	66	1	67	0	0	0.00	3.00	300	-55	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	-1	0	0	4	1	08/26/1991	0							78.10	172.05	-589.06	76.61	172.91	-591.52	
1323/42	1	67	1	68	0	0	0.00	6.20	200	10	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	-1	0	0	4	1	08/26/1991	0							76.61	172.91	-591.52	74.52	167.17	-590.45	
1323/42	1	68	1	69	0	0	0.00	3.30	320	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	-1	0	0	4	1	08/26/1991	0	P25						74.52	167.17	-590.45	72.40	169.70	-590.45	
1323/42	1	69	1	70	0	0	0.00	20.80	280	-70	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	-1	0	0	4	1	08/26/1991	0							72.40	169.70	-590.45	65.39	170.93	-609.99	
1323/42	1	70	1	71	0	0	0.00	5.00	200	-5	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	-1	0	0	4	1	08/26/1991	0							65.39	170.93	-609.99	63.69	166.25	-610.43	
1323/42	1	71	1	72	0	0	0.00	6.20	225	-30	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	-1	0	0	4	1	08/26/1991	0							63.69	166.25	-610.43	59.89	162.46	-613.53	
1323/42	1	72	1	73	0	0	0.00	13.50	265	-50	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	-1	0	0	4	1	08/26/1991	0							59.89	162.46	-613.53	51.25	161.70	-623.87	
1323/42	1	73	1	74	0	0	0.00	4.80	315	-35	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	-1	0	0	4	1	08/26/1991	0							51.25	161.70	-623.87	48.47	164.48	-626.62	
1323/42	1	74	1	75	0	0	0.00	7.80	310	-55	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	-1	0	0	4	1	08/26/1991	0	P13						48.47	164.48	-626.62	45.04	167.36	-633.01	
1323/42	1	75	1	76	0	0	0.00	14.00	280	-65	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	-1	0	0	4	1	08/26/1991	0							45.04	167.36	-633.01	39.21	168.38	-645.70	
1323/42	1	76	1	77	0	0	0.00	4.00	255	-55	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	-1	0	0	4	1	08/26/1991	0							39.21	168.38	-645.70	37.00	167.79	-648.98	
1323/42	1	77	1	78	0	0	0.00	7.00	330	-55	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/26/1991	0							37.00	167.79	-648.98	34.99	171.27	-654.71	
1323/42	1	2	2	1	0	0	0.00	11.10	160	10	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/29/1990	0							5.88	-8.61	-12.85	9.61	-18.88	-10.92	
1323/42	2	1	2	2	0	0	0.00	6.60	172	32	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/29/1990	0							9.61	-18.88	-10.92	10.39	-24.42	-7.43	
1323/42	2	2	2	3	0	0	0.00	7.50	135	-22	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/29/1990	0							10.39	-24.42	-7.43	15.31	-29.34	-10.24	
1323/42	2	3	2	4	0	0	0.00	5.10	140	10	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/29/1990	0							15.31	-29.34	-10.24	18.54	-33.18	-9.35	
1323/42	2	4	2	5	0	0	0.00	2.80	0	90	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	-1	0	0	4	1	08/29/1990	0	3. Eingang						18.54	-33.18	-9.35	18.54	-33.18	-6.55	
1323/42	2	2	3	1	0	0	0.00	5.80	335	41	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	-1	0	0	4	1	08/29/1990	0	2. Eingang						10.39	-24.42	-7.43	8.54	-20.45	-3.62	
